RAW DATA,,,,,,,,,,,,,,,,,,,
,Cluster Size,1 (Uniform),2 (Uniform),3 (Uniform),,1 (Weighted),2 (Weighted),3 (Weighted),6 (Weighted),,Cluster Size,1 (Uniform),2 Uniform,3 (Uniform),Column1,1 Wieghted,2 Weighted,3 Weighted,6 Weighted
,,6,3,5,,5.00E+00,4,4,6.00E+00,,,,,,,,,,
,,7,6,7,,1.20E+01,6,4,3.00E+00,,,,,,,,,,
,,8,6,9,,8.00E+00,9,5,5.00E+00,,,,,,,,,,
,,7,5,7,,7.00E+00,5,4,5.00E+00,,,,,,,,,,
,,4,2,4,,5.00E+00,3,4,7.00E+00,,,,,,,,,,
,,4,4,4,,7.00E+00,5,5,4.00E+00,,,,,,,,,,
,,5,5,5,,8.00E+00,5,4,6.00E+00,,,,,,,,,,
,,8,6,6,,8.00E+00,4,7,1.00E+01,,,,,,,,,,
,,4,6,6,,9.00E+00,7,3,7.00E+00,,,,,,,,,,
,,8,7,7,,9.00E+00,8,5,7.00E+00,,,,,,,,,,
,,5,4,5,,5.00E+00,6,5,5.00E+00,,,,,,,,,,
,,5,7,5,,6.00E+00,3,3,5.00E+00,,,,,,,,,,
,,5,5,6,,5.00E+00,6,5,6.00E+00,,,,,,,,,,
,,4,4,5,,9.00E+00,7,3,5.00E+00,,,,,,,,,,
,,4,7,6,,7.00E+00,7,4,6.00E+00,,,,,,,,,,
,,8,7,5,,1.00E+01,4,5,6.00E+00,,,,,,,,,,
,,3,2,4,,5.00E+00,6,4,4.00E+00,,,,,,,,,,
,,8,4,6,,6.00E+00,5,4,7.00E+00,,,,,,,,,,
,,6,6,5,,5.00E+00,5,1,4.00E+00,,,,,,,,,,
,,7,4,5,,7.00E+00,5,4,4.00E+00,,,,,,,,,,
,,7,7,6,,9.00E+00,7,4,5.00E+00,,,,,,,,,,
,,9,8,7,,1.10E+01,5,5,1.00E+01,,,,,,,,,,
,,4,2,4,,6.00E+00,5,5,4.00E+00,,,,,,,,,,
